"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"WDPRBUS","199901","210.996","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199902","162.352","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199903","149.912","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199904","183.534","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199905","222.166","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199906","173.903","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199907","203.953","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199908","197.764","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199909","181.899","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199910","164.413","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199911","192.219","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199912","171.056","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","199913","2214.167","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200001","160.708","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200002","185.259","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200003","195.714","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200004","187.07","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200005","184.011","1","Wood Energy Production","Trillion Btu"
"WDPRBUS","200006","167.726","1","Wood Energy Production","Trillion Btu"
